"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate"
"106",2048,"slowpoke_flat","tolerance:0.05","error: 5%","weak","0ms",NA,19.9223534459,11.378617,121.728498,19.555556608,11.084104,121.326591,19.6193298735454,4039.5998852075
"107",2048,"google","tolerance:0.05","error: 5%","weak","0ms",NA,64.6274265141,2.509298,425.964287,67.6287419375,2.223562,434.861526,57.7529014939753,3890.2043638883
"108",2048,"amazon","tolerance:0.05","error: 5%","weak","0ms","Geo-
distributed",90.7029370836,69.753931,531.110409,86.6497183815,67.316192,568.904125,77.9918570314904,3902.7321672985
"109",2048,"flat5","tolerance:0.05","error: 5%","weak","200ms",NA,6.24797833548,5.945236,7.029182,5.77072130494,5.467084,6.460616,6.04998420214649,4078.4761127624
"110",2048,"slowpoke_flat","tolerance:0.05","error: 5%","weak","200ms",NA,16.9889951617,10.868579,102.202888,16.6372795816,11.009004,101.752667,17.3457895650791,4006.6683878927
"111",2048,"google","tolerance:0.05","error: 5%","weak","200ms",NA,56.5972675853,2.250517,349.230211,51.3913238807,1.993506,294.77184,45.8789327010811,4074.1089294147
"112",2048,"amazon","tolerance:0.05","error: 5%","weak","200ms","Geo-
distributed",61.4341368392,2.34648,497.891541,58.972123775,2.121637,537.1255,53.3893113124189,4012.6584900881
"113",2048,"flat5","tolerance:0.01","error: 1%","weak","0ms",NA,7.21694262,6.472255,26.78982,6.46901940176,6.06932,16.371678,6.64248271684899,4107.5638283722
"114",2048,"slowpoke_flat","tolerance:0.01","error: 1%","weak","0ms",NA,35.9325533247,11.425411,306.507109,34.3549052431,11.071399,302.309919,31.8234212145156,4013.4749601067
"115",2048,"google","tolerance:0.01","error: 1%","weak","0ms",NA,173.027343008,22.529113,2418.523021,112.659973812,13.149034,1046.688139,100.762115223831,3999.0188116282
"116",2048,"amazon","tolerance:0.01","error: 1%","weak","0ms","Geo-
distributed",230.863451949,85.0262,3268.785806,284.190609418,86.579402,3875.741939,228.799363873763,3990.6856796252
"117",2048,"flat5","tolerance:0.01","error: 1%","weak","200ms",NA,6.81452246908,6.031601,16.866034,5.75126796901,5.450423,6.502156,6.09742822163187,4023.7551245558
"118",2048,"slowpoke_flat","tolerance:0.01","error: 1%","weak","200ms",NA,22.6227962961,10.955831,191.257772,17.7843457192,10.879538,121.180291,18.6336901943332,4016.2724077136
"119",2048,"google","tolerance:0.01","error: 1%","weak","200ms",NA,89.1854513904,12.221477,868.786765,71.0657523593,2.245436,459.383615,63.169172542136,4036.630021814
"120",2048,"amazon","tolerance:0.01","error: 1%","weak","200ms","Geo-
distributed",434.609791672,85.780448,14174.315165,192.235645129,81.860413,968.75146,184.476380332384,3568.7147098589
"121",4096,"flat5","consistency:strong","strong","strong","0ms","High load",128.176375764,37.012813,2452.973564,114.861210339,26.198827,2188.99868,97.1105520732472,4168.5969708589
"122",4096,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,1542.88993648,63.370185,28653.170116,1455.19574857,34.150766,28944.437455,1174.02695088754,2809.5558209592
"123",4096,"google","consistency:strong","strong","strong","0ms",NA,3843.18408349,599.980211,41840.804099,3172.68798694,457.073324,36356.556478,2673.06605416604,896.15775312639
"124",4096,"amazon","consistency:strong","strong","strong","0ms",NA,2928.37078493,467.910717,38368.09908,2982.04472901,356.281607,37513.975777,2423.19420911344,932.96172094141
"125",4096,"flat5","consistency:strong","strong","strong","200ms","High load",94.1280096932,37.121541,1549.696825,65.9995380914,26.227552,1201.864324,59.5049073656599,3992.6337202466
"126",4096,"slowpoke_flat","consistency:strong","strong","strong","200ms",NA,1475.53356607,66.521233,30728.652512,1012.47012913,32.677168,24933.0594,860.413355475107,2748.9797171093
"127",4096,"google","consistency:strong","strong","strong","200ms",NA,3630.26592223,555.141798,43031.91208,3763.87541114,428.831023,41951.803745,3044.29521383989,894.90939383491
"128",4096,"amazon","consistency:strong","strong","strong","200ms",NA,3359.52598068,451.663139,39555.227021,3355.61625225,366.452599,39517.095685,2725.20544491378,948.1715712812
"129",4096,"flat5","consistency:weakwrite","weak","weak","0ms","High load",6.69237986571,6.459381,8.039344,6.23712149695,6.100826,6.894113,6.41581346566573,3995.9834689127
"130",4096,"slowpoke_flat","consistency:weakwrite","weak","weak","0ms",NA,18.5869971317,11.352405,112.309628,19.2747683324,11.048551,121.543212,19.2059500666826,4015.013722841
"131",4096,"google","consistency:weakwrite","weak","weak","0ms",NA,61.4363073971,2.545693,402.537232,56.4594686039,2.172942,403.596159,49.5733241997812,4036.0228153773
"132",4096,"amazon","consistency:weakwrite","weak","weak","0ms",NA,51.9052331733,2.413425,417.862593,58.4892103263,2.195615,438.978398,51.783550022527,4090.1628800467
"133",4096,"flat5","consistency:weakwrite","weak","weak","200ms","High load",6.21450601786,5.929793,6.916255,5.73009698048,5.455203,6.427321,6.01561869789689,4085.5134135329
"134",4096,"slowpoke_flat","consistency:weakwrite","weak","weak","200ms",NA,17.4051894925,10.862804,102.886181,17.6363403074,10.985465,136.546541,18.0491075117111,3965.8035908069
"135",4096,"google","consistency:weakwrite","weak","weak","200ms",NA,53.5346425762,2.264767,341.656014,51.045718918,1.932741,386.024748,45.3776465559818,3832.8080617265
"136",4096,"amazon","consistency:weakwrite","weak","weak","200ms",NA,53.6601011209,2.262597,418.997679,51.7115278067,2.001294,471.515472,47.0858844293901,3972.067878269
"137",4096,"flat5","tolerance:0.1","error: 10%","weak","0ms","High load",6.57933351057,6.46268,9.168638,6.16901958377,6.094994,6.638939,6.36230061315692,4023.4823866039
"138",4096,"slowpoke_flat","tolerance:0.1","error: 10%","weak","0ms",NA,28.336036464,11.365348,214.594599,25.8390693864,11.042135,211.250837,24.8371609459569,4122.982446533
"139",4096,"google","tolerance:0.1","error: 10%","weak","0ms",NA,60.9583028682,2.445981,428.951136,59.3923622491,2.120152,441.083282,52.5240009928899,4057.1909861565
"140",4096,"amazon","tolerance:0.1","error: 10%","weak","0ms",NA,58.1115819998,2.466861,487.349389,63.0090148689,2.250298,469.233581,55.4482290553785,4028.0799298721
"141",4096,"flat5","tolerance:0.1","error: 10%","weak","200ms","High load",6.24277837919,5.933557,7.053237,5.79989583328,5.454184,6.535132,6.08043241309929,3989.4449023326
"142",4096,"slowpoke_flat","tolerance:0.1","error: 10%","weak","200ms",NA,119.368576362,11.393005,5780.430131,29.1329471287,11.030561,158.425066,36.5733495214545,4002.7444147794
"143",4096,"google","tolerance:0.1","error: 10%","weak","200ms",NA,55.291258887,2.370695,388.150368,52.4623101382,1.971944,326.311873,46.5393847931592,3960.0097559121
"144",4096,"amazon","tolerance:0.1","error: 10%","weak","200ms",NA,68.9924119682,2.432133,517.124475,54.8574379854,1.921744,595.655513,50.8068429229225,4064.1856158442
"145",4096,"flat5","tolerance:0.05","error: 5%","weak","0ms","High load",7.12366355957,6.435884,26.906253,6.52228143414,6.073449,16.419847,6.66544841175762,4051.1281626583
"146",4096,"slowpoke_flat","tolerance:0.05","error: 5%","weak","0ms",NA,19.0254618452,11.381773,121.460394,18.1057570253,11.025131,101.826624,18.3765069358208,4069.5477149692
"147",4096,"google","tolerance:0.05","error: 5%","weak","0ms",NA,63.3605453256,2.498228,445.906863,63.3737828243,2.18741,486.604567,54.7794952728616,4021.9849791637
"148",4096,"amazon","tolerance:0.05","error: 5%","weak","0ms",NA,58.2759030717,2.51668,438.444037,61.3099055713,2.22409,472.981833,55.0112689413851,4023.73234213
"149",4096,"flat5","tolerance:0.05","error: 5%","weak","200ms","High load",6.52966774539,5.972953,16.562338,5.77118280955,5.466386,6.471856,6.08232240095704,4129.5644929375
"150",4096,"slowpoke_flat","tolerance:0.05","error: 5%","weak","200ms",NA,53.4194363179,11.3024,1024.226868,32.2935833473,11.122395,211.406145,31.9920358854268,4031.0307544517
"151",4096,"google","tolerance:0.05","error: 5%","weak","200ms",NA,108.117156285,2.751068,606.915127,63.4627187309,2.080334,426.578125,59.4284615466308,3970.401482989
