"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","retweet_lat_mean","retweet_lat_median","retweet_lat_p99","tweet_load_lat_mean","tweet_load_lat_median","tweet_load_lat_p99","timeline_lat_mean","timeline_lat_median","timeline_lat_p99","overall_lat_mean","overall_rate","containers"
"116",2048,"flat5","tolerance:0.1","error: 10%","weak","20ms",NA,60.7284744079,42.205891,140.213305,19.2884563041,16.476765,81.863116,57.6997747869,56.210815,164.70571,61.4905396959129,4139.0317985954,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"117",2048,"slowpoke_flat","tolerance:0.1","error: 10%","weak","20ms",NA,228.774243567,203.076566,609.20419,30.1298909097,23.256667,114.536716,111.719509332,83.702793,550.433699,152.450697506333,2834.3057864554,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"118",2048,"google","tolerance:0.1","error: 10%","weak","20ms",NA,450.093303119,450.433736,1298.901575,53.857498893,33.257311,489.041766,169.029586065,123.662081,875.339297,265.577307242592,1751.0000567591,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"119",2048,"amazon","tolerance:0.1","error: 10%","weak","20ms","Geo-
distributed",768.748726784,670.044307,2244.166901,163.096574289,111.343104,1268.788383,496.386047459,401.655769,1980.065561,584.051453444014,1248.1929083389,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"120",4096,"fast","tolerance:0.1","error: 10%","weak","20ms","Local",35.3627336652,19.743541,106.891208,17.2419937835,15.12417,106.338746,51.8060695566,52.549634,172.862787,48.9097403198961,4394.8712744457,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"121",4096,"flat5","tolerance:0.1","error: 10%","weak","20ms","High load",46.617302498,41.765652,138.584196,20.1242903432,16.762109,72.475951,53.6907056229,55.173081,142.149939,55.0609721893495,4097.2287524348,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"122",4096,"slowpoke_flat","tolerance:0.1","error: 10%","weak","20ms",NA,224.66388866,197.665333,600.019275,52.5687189899,25.286428,266.121313,118.169894513,85.81498,571.484603,154.36680266907,2772.7125804272,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"123",4096,"google","tolerance:0.1","error: 10%","weak","20ms",NA,452.747993556,458.552114,1343.338213,51.315955227,33.009306,413.503483,177.576624192,127.128644,887.706108,273.409339690086,1718.439085112,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"124",4096,"amazon","tolerance:0.1","error: 10%","weak","20ms",NA,637.28141784,579.994062,2001.718067,69.6190148528,38.308825,490.039778,292.171527362,199.827686,1490.691518,414.455340673651,1371.0346040201,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"125",128,"fast","tolerance:0.05","error: 5%","weak","20ms",NA,12.1975434792,6.995113,64.967768,18.6441501315,14.840906,65.797753,30.7754273325,27.455693,98.665476,24.8251971466081,5076.1523092882,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"126",128,"flat5","tolerance:0.05","error: 5%","weak","20ms","Uniform
(5ms)",44.7527314803,29.0343,77.544464,13.4937675174,10.137872,70.759344,28.9889004345,26.168576,96.05596,33.8083328246787,4761.9651796868,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"127",128,"slowpoke_flat","tolerance:0.05","error: 5%","weak","20ms",NA,183.087641173,152.847404,370.213025,14.0945019333,11.1306,100.895999,40.348563145,32.963704,125.76759,85.038303350022,1842.1168336708,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"128",128,"google","tolerance:0.05","error: 5%","weak","20ms",NA,343.41207365,314.403389,869.191143,14.5423881052,2.680073,169.864799,39.7915612283,6.990387,186.353867,133.09330916311,1164.9685398338,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
